,Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
628,1659,MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,SUV,7,13,20,16,4,no
629,1661,MERCURY Mountaineer,4.6,8,Auto-L6,4WD,Gasoline,SUV,7,13,19,15,3,no
630,1665,MERCURY Sable,3.5,6,Auto-L6,4WD,Gasoline,large car,9.5,17,24,19,5,no
631,1666,MERCURY Sable,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18,28,22,6,yes
632,1671,MINI Mini Cooper Convertible,1.6,4,Auto-AV,2WD,Gasoline,small car,6,25,33,28,8,yes
633,1672,MINI Mini Cooper Convertible,1.6,4,Man-5,2WD,Gasoline,small car,6,26,35,29,8,yes
634,1675,MINI Mini Cooper S Convertible,1.6,4,Auto-S6,2WD,Gasoline,small car,6,22,31,26,8,yes
635,1676,MINI Mini Cooper S Convertible,1.6,4,Man-6,2WD,Gasoline,small car,6,24,31,27,8,yes
636,1677,MITSUBISHI Eclipse,2.4,4,Auto-S4,2WD,Gasoline,small car,7,20,26,22,6,yes
637,1678,MITSUBISHI Eclipse,2.4,4,Man-5,2WD,Gasoline,small car,7,20,28,23,7,yes
638,1685,MITSUBISHI Eclipse,3.8,6,Man-6,2WD,Gasoline,small car,6,16,25,19,5,no
639,1687,MITSUBISHI Eclipse,3.8,6,Auto-S5,2WD,Gasoline,small car,6,17,25,20,6,no
640,1689,MITSUBISHI Eclipse Spyder,2.4,4,Auto-S4,2WD,Gasoline,small car,7,19,26,22,6,yes
641,1690,MITSUBISHI Eclipse Spyder,2.4,4,Man-5,2WD,Gasoline,small car,7,19,26,22,6,yes
642,1697,MITSUBISHI Eclipse Spyder,3.8,6,Auto-S5,2WD,Gasoline,small car,6,16,24,19,5,no
643,1699,MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6,16,25,19,5,no
644,1703,MITSUBISHI Endeavor,3.8,6,Auto-S4,2WD,Gasoline,SUV,6,15,22,18,5,no
645,1704,MITSUBISHI Endeavor,3.8,6,Auto-S4,4WD,Gasoline,SUV,6,15,19,17,4,no
646,1705,MITSUBISHI Galant,2.4,4,Auto-S4,2WD,Gasoline,midsize car,9.5,20,27,23,7,yes
647,1709,MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6,17,25,20,6,no
648,1711,MITSUBISHI Lancer,2.0,4,Man-5,2WD,Gasoline,small car,9.5,21,29,24,7,yes
649,1712,MITSUBISHI Lancer,2.0,4,Auto-AV,2WD,Gasoline,small car,9.5,22,29,24,7,yes
650,1715,MITSUBISHI Outlander,3.0,6,Auto-S6,2WD,Gasoline,SUV,9.5,17,25,20,6,yes
651,1716,MITSUBISHI Outlander,3.0,6,Auto-S6,4WD,Gasoline,SUV,9.5,17,24,20,6,yes
652,1719,MITSUBISHI Outlander,2.4,4,Auto-AV,2WD,Gasoline,SUV,6,20,25,22,6,no
653,1720,MITSUBISHI Outlander,2.4,4,Auto-AV,4WD,Gasoline,SUV,6,20,25,22,6,no
654,1723,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,7,15,20,17,4,no
655,1724,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,7,14,18,15,3,no
656,1725,MITSUBISHI Raider,4.7,8,Auto-L5,2WD,Gasoline,pickup,7,14,19,15,3,no
657,1726,MITSUBISHI Raider,4.7,8,Auto-L5,4WD,Gasoline,pickup,7,14,19,15,3,no
658,1730,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,6,15,20,17,4,no
659,1731,MITSUBISHI Raider,3.7,6,Man-6,2WD,Gasoline,pickup,6,16,20,18,5,no
660,1732,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,6,14,18,15,3,no
661,1735,NISSAN 350Z,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17,24,20,6,yes
662,1736,NISSAN 350Z,3.5,6,Man-6,2WD,Gasoline,small car,7,18,25,20,6,yes
663,1739,NISSAN 350Z Roadster,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17,23,19,5,no
664,1740,NISSAN 350Z Roadster,3.5,6,Man-6,2WD,Gasoline,small car,7,17,24,20,6,yes
665,1743,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,23,31,26,8,yes
666,1744,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,9.5,23,32,26,8,yes
667,1745,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,9.5,23,31,26,8,yes
668,1746,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,9.5,23,32,26,8,yes
669,1747,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19,26,22,6,yes
670,1748,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,midsize car,7,19,27,22,6,yes
671,1749,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,small car,7,19,26,22,6,yes
672,1750,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,small car,7,19,27,22,6,yes
673,1755,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,23,31,26,8,yes
674,1756,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,6,23,32,26,8,yes
675,1757,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,6,23,31,26,8,yes
676,1758,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,6,23,32,26,8,yes
677,1763,NISSAN Altima Hybrid,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,35,33,34,9,yes
678,1768,NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6,12,18,14,2,no
679,1769,NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6,12,17,14,2,no
680,1770,NISSAN Frontier,2.5,4,Auto-L5,2WD,Gasoline,pickup,7,17,22,19,5,no
681,1771,NISSAN Frontier,2.5,4,Man-5,2WD,Gasoline,pickup,7,19,23,21,6,yes
682,1772,NISSAN Frontier,4.0,6,Auto-L5,2WD,Gasoline,pickup,7,15,20,17,4,no
683,1773,NISSAN Frontier,4.0,6,Man-6,2WD,Gasoline,pickup,7,16,20,17,4,no
684,1774,NISSAN Frontier,4.0,6,Auto-L5,4WD,Gasoline,pickup,7,14,19,16,4,no
685,1775,NISSAN Frontier,4.0,6,Man-6,4WD,Gasoline,pickup,7,15,19,17,4,no
686,1782,NISSAN Maxima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19,25,21,6,yes
687,1784,NISSAN Pathfinder,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15,22,17,4,no
688,1785,NISSAN Pathfinder,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14,20,16,4,no
689,1790,NISSAN Pathfinder,5.6,8,Auto-S5,2WD,Gasoline,SUV,6,13,18,15,3,no
690,1791,NISSAN Pathfinder,5.6,8,Auto-S5,4WD,Gasoline,SUV,6,12,18,14,2,no
691,1792,NISSAN Quest,3.5,6,Auto-L5,2WD,Gasoline,minivan,7,16,24,19,5,no
692,1794,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,9,22,27,24,7,yes
693,1795,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,9,21,26,23,7,yes
694,1798,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,6,22,27,24,7,yes
695,1799,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,6,21,26,23,7,yes
696,1800,NISSAN Sentra,2.0,4,Man-6,2WD,Gasoline,midsize car,7,24,31,27,8,yes
697,1801,NISSAN Sentra,2.0,4,Auto-AV,2WD,Gasoline,midsize car,7,25,33,28,8,yes
698,1806,NISSAN Sentra,2.5,4,Man-6,2WD,Gasoline,midsize car,6,21,29,24,7,yes
699,1807,NISSAN Sentra,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,24,30,26,8,yes
700,1812,NISSAN Titan,5.6,8,Auto-L5,2WD,Gasoline,pickup,6,12,17,14,2,no
701,1813,NISSAN Titan,5.6,8,Auto-L5,4WD,Gasoline,pickup,6,12,17,14,2,no
702,1814,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7,24,32,27,8,yes
703,1815,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7,26,31,28,8,yes
704,1816,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7,27,33,29,8,yes
705,1820,NISSAN Xterra,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15,20,17,4,no
706,1821,NISSAN Xterra,4.0,6,Man-6,2WD,Gasoline,SUV,7,16,20,17,4,no
707,1822,NISSAN Xterra,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14,20,16,4,no
708,1823,NISSAN Xterra,4.0,6,Man-6,4WD,Gasoline,SUV,7,16,20,17,4,no
